# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 29296 1 174 2306 330458 1 sprites/gen4dp-2/unown.png
DUPTYPE_WITHIN_SAME_TREE -29296 1 174 2306 329838 1 sprites/gen4dp-2-shiny/unown.png
DUPTYPE_FIRST_OCCURRENCE 3129 1 186 2306 312540 1 sprites/gen5icons/602.png
DUPTYPE_WITHIN_SAME_TREE -3129 1 186 2306 282621 1 sprites/bwicons/602.png
DUPTYPE_FIRST_OCCURRENCE 3019 1 201 2306 312430 1 sprites/gen5icons/535.png
DUPTYPE_WITHIN_SAME_TREE -3019 1 201 2306 282192 1 sprites/bwicons/535.png
DUPTYPE_FIRST_OCCURRENCE 33388 1 203 2306 277876 1 sprites/itemicons/gram-3.png
DUPTYPE_WITHIN_SAME_TREE -33388 1 203 2306 277565 1 sprites/itemicons/gram-1.png
DUPTYPE_WITHIN_SAME_TREE -33388 1 203 2306 277680 1 sprites/itemicons/gram-2.png
DUPTYPE_FIRST_OCCURRENCE 3138 1 207 2306 312549 1 sprites/gen5icons/524.png
DUPTYPE_WITHIN_SAME_TREE -3138 1 207 2306 282671 1 sprites/bwicons/524.png
DUPTYPE_FIRST_OCCURRENCE 3120 1 208 2306 312531 1 sprites/gen5icons/582.png
DUPTYPE_WITHIN_SAME_TREE -3120 1 208 2306 282625 1 sprites/bwicons/582.png
DUPTYPE_FIRST_OCCURRENCE 3211 1 210 2306 312622 1 sprites/gen5icons/517.png
DUPTYPE_WITHIN_SAME_TREE -3211 1 210 2306 282699 1 sprites/bwicons/517.png
DUPTYPE_FIRST_OCCURRENCE 33288 1 222 2306 277918 1 sprites/itemicons/thick-club.png
DUPTYPE_WITHIN_SAME_TREE -33288 1 222 2306 277808 1 sprites/itemicons/rare-bone.png
DUPTYPE_FIRST_OCCURRENCE 2779 1 222 2306 312190 1 sprites/gen5icons/588.png
DUPTYPE_WITHIN_SAME_TREE -2779 1 222 2306 282399 1 sprites/bwicons/588.png
DUPTYPE_FIRST_OCCURRENCE 3330 1 224 2306 312741 1 sprites/gen5icons/599.png
DUPTYPE_WITHIN_SAME_TREE -3330 1 224 2306 282669 1 sprites/bwicons/599.png
DUPTYPE_FIRST_OCCURRENCE 3239 1 226 2306 312650 1 sprites/gen5icons/607.png
DUPTYPE_WITHIN_SAME_TREE -3239 1 226 2306 282592 1 sprites/bwicons/607.png
DUPTYPE_FIRST_OCCURRENCE 2989 1 226 2306 312400 1 sprites/gen5icons/616.png
DUPTYPE_WITHIN_SAME_TREE -2989 1 226 2306 282409 1 sprites/bwicons/616.png
DUPTYPE_FIRST_OCCURRENCE 3002 1 227 2306 312413 1 sprites/gen5icons/540.png
DUPTYPE_WITHIN_SAME_TREE -3002 1 227 2306 282403 1 sprites/bwicons/540.png
DUPTYPE_FIRST_OCCURRENCE 2810 1 228 2306 312221 1 sprites/gen5icons/543.png
DUPTYPE_WITHIN_SAME_TREE -2810 1 228 2306 282836 1 sprites/bwicons/543.png
DUPTYPE_FIRST_OCCURRENCE 3186 1 229 2306 312597 1 sprites/gen5icons/597.png
DUPTYPE_WITHIN_SAME_TREE -3186 1 229 2306 282557 1 sprites/bwicons/597.png
DUPTYPE_FIRST_OCCURRENCE 3327 1 229 2306 312738 1 sprites/gen5icons/562.png
DUPTYPE_WITHIN_SAME_TREE -3327 1 229 2306 282235 1 sprites/bwicons/562.png
DUPTYPE_FIRST_OCCURRENCE 2672 1 229 2306 312083 1 sprites/gen5icons/605.png
DUPTYPE_WITHIN_SAME_TREE -2672 1 229 2306 282382 1 sprites/bwicons/605.png
DUPTYPE_FIRST_OCCURRENCE 3185 1 230 2306 312596 1 sprites/gen5icons/559.png
DUPTYPE_WITHIN_SAME_TREE -3185 1 230 2306 282123 1 sprites/bwicons/559.png
DUPTYPE_FIRST_OCCURRENCE 2605 1 231 2306 312016 1 sprites/gen5icons/608.png
DUPTYPE_WITHIN_SAME_TREE -2605 1 231 2306 282777 1 sprites/bwicons/608.png
DUPTYPE_FIRST_OCCURRENCE 2637 1 231 2306 312048 1 sprites/gen5icons/550-blue-striped.png
DUPTYPE_WITHIN_SAME_TREE -2637 1 231 2306 282171 1 sprites/bwicons/550-blue-striped.png
DUPTYPE_FIRST_OCCURRENCE 5799 2 231 2306 537135 1 sprites/substitutes/gen1-back/substitute.png
DUPTYPE_WITHIN_SAME_TREE -5799 2 231 2306 536838 1 sprites/substitutes/gen2-back/substitute.png
DUPTYPE_FIRST_OCCURRENCE 2727 1 233 2306 312138 1 sprites/gen5icons/550-red-striped.png
DUPTYPE_WITHIN_SAME_TREE -2727 1 233 2306 312451 1 sprites/gen5icons/550.png
DUPTYPE_WITHIN_SAME_TREE -2727 1 233 2306 282154 1 sprites/bwicons/550-red-striped.png
DUPTYPE_WITHIN_SAME_TREE -2727 1 233 2306 282238 1 sprites/bwicons/550.png
DUPTYPE_FIRST_OCCURRENCE 3343 1 233 2306 312754 1 sprites/gen5icons/570.png
DUPTYPE_WITHIN_SAME_TREE -3343 1 233 2306 282748 1 sprites/bwicons/570.png
DUPTYPE_FIRST_OCCURRENCE 2668 1 235 2306 312079 1 sprites/gen5icons/554.png
DUPTYPE_WITHIN_SAME_TREE -2668 1 235 2306 282789 1 sprites/bwicons/554.png
DUPTYPE_FIRST_OCCURRENCE 3064 1 236 2306 312475 1 sprites/gen5icons/541.png
DUPTYPE_WITHIN_SAME_TREE -3064 1 236 2306 282553 1 sprites/bwicons/541.png
DUPTYPE_FIRST_OCCURRENCE 3165 1 236 2306 312576 1 sprites/gen5icons/595.png
DUPTYPE_WITHIN_SAME_TREE -3165 1 236 2306 282416 1 sprites/bwicons/595.png
DUPTYPE_FIRST_OCCURRENCE 3142 1 236 2306 312553 1 sprites/gen5icons/498.png
DUPTYPE_WITHIN_SAME_TREE -3142 1 236 2306 282482 1 sprites/bwicons/498.png
DUPTYPE_FIRST_OCCURRENCE 2800 1 237 2306 312211 1 sprites/gen5icons/633.png
DUPTYPE_WITHIN_SAME_TREE -2800 1 237 2306 282442 1 sprites/bwicons/633.png
DUPTYPE_FIRST_OCCURRENCE 3331 1 238 2306 312742 1 sprites/gen5icons/590.png
DUPTYPE_WITHIN_SAME_TREE -3331 1 238 2306 282357 1 sprites/bwicons/590.png
DUPTYPE_FIRST_OCCURRENCE 2820 1 239 2306 312231 1 sprites/gen5icons/519.png
DUPTYPE_WITHIN_SAME_TREE -2820 1 239 2306 282613 1 sprites/bwicons/519.png
DUPTYPE_FIRST_OCCURRENCE 3072 1 239 2306 312483 1 sprites/gen5icons/583.png
DUPTYPE_WITHIN_SAME_TREE -3072 1 239 2306 282694 1 sprites/bwicons/583.png
DUPTYPE_FIRST_OCCURRENCE 5800 2 239 2306 537162 1 sprites/substitutes/gen2/substitute.png
DUPTYPE_WITHIN_SAME_TREE -5800 2 239 2306 537144 1 sprites/substitutes/gen1/substitute.png
DUPTYPE_FIRST_OCCURRENCE 3318 1 240 2306 312729 1 sprites/gen5icons/594.png
DUPTYPE_WITHIN_SAME_TREE -3318 1 240 2306 282257 1 sprites/bwicons/594.png
DUPTYPE_FIRST_OCCURRENCE 3122 1 241 2306 312533 1 sprites/gen5icons/574.png
DUPTYPE_WITHIN_SAME_TREE -3122 1 241 2306 282817 1 sprites/bwicons/574.png
DUPTYPE_FIRST_OCCURRENCE 3169 1 242 2306 312580 1 sprites/gen5icons/632.png
