# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 29296 1 174 2306 330458 1 sprites/gen4dp-2/unown.png
DUPTYPE_WITHIN_SAME_TREE -29296 1 174 2306 329838 1 sprites/gen4dp-2-shiny/unown.png
DUPTYPE_FIRST_OCCURRENCE 5799 2 231 2306 537135 1 sprites/substitutes/gen1-back/substitute.png
DUPTYPE_WITHIN_SAME_TREE -5799 2 231 2306 536838 1 sprites/substitutes/gen2-back/substitute.png
DUPTYPE_FIRST_OCCURRENCE 5800 2 239 2306 537162 1 sprites/substitutes/gen2/substitute.png
DUPTYPE_WITHIN_SAME_TREE -5800 2 239 2306 537144 1 sprites/substitutes/gen1/substitute.png
DUPTYPE_FIRST_OCCURRENCE 16759 1 278 2306 311040 1 sprites/gen5-back-shiny/unown-a.png
DUPTYPE_WITHIN_SAME_TREE -16759 1 278 2306 311670 1 sprites/gen5-back-shiny/unown.png
DUPTYPE_FIRST_OCCURRENCE 4671 1 278 2306 309471 1 sprites/gen5-back/unown-a.png
DUPTYPE_WITHIN_SAME_TREE -4671 1 278 2306 310422 1 sprites/gen5-back/unown.png
DUPTYPE_FIRST_OCCURRENCE 20708 1 318 2306 304625 1 sprites/gen5/unown-a.png
DUPTYPE_WITHIN_SAME_TREE -20708 1 318 2306 305270 1 sprites/gen5/unown.png
DUPTYPE_FIRST_OCCURRENCE 35513 1 318 2306 326734 1 sprites/gen5-shiny/unown-a.png
DUPTYPE_WITHIN_SAME_TREE -35513 1 318 2306 327367 1 sprites/gen5-shiny/unown.png
DUPTYPE_FIRST_OCCURRENCE 9555 1 338 2306 316760 1 sprites/gen3/castform.png
DUPTYPE_WITHIN_SAME_TREE -9555 1 338 2306 317946 1 sprites/gen3-shiny/castform.png
DUPTYPE_FIRST_OCCURRENCE 5718 1 340 2306 310703 1 sprites/gen5-back/0.png
DUPTYPE_WITHIN_SAME_TREE -5718 1 340 2306 305552 1 sprites/gen5/0.png
DUPTYPE_FIRST_OCCURRENCE 9850 1 347 2306 317055 1 sprites/gen3/0.png
DUPTYPE_WITHIN_SAME_TREE -9850 1 347 2306 331920 1 sprites/gen3-2/0.png
DUPTYPE_FIRST_OCCURRENCE 5164 1 361 2306 309912 1 sprites/gen5-back/egg.png
DUPTYPE_WITHIN_SAME_TREE -5164 1 361 2306 311467 1 sprites/gen5-back-shiny/egg.png
DUPTYPE_WITHIN_SAME_TREE -5164 1 361 2306 305063 1 sprites/gen5/egg.png
DUPTYPE_WITHIN_SAME_TREE -5164 1 361 2306 327164 1 sprites/gen5-shiny/egg.png
DUPTYPE_FIRST_OCCURRENCE 5200 1 377 2306 309946 1 sprites/gen5-back/substitute.png
DUPTYPE_WITHIN_SAME_TREE -5200 2 377 2306 536987 1 sprites/substitutes/gen5-back/substitute.png
DUPTYPE_FIRST_OCCURRENCE 5004 1 411 2306 309771 1 sprites/gen5-back/burmy.png
DUPTYPE_WITHIN_SAME_TREE -5004 1 411 2306 310672 1 sprites/gen5-back/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 17084 1 412 2306 311332 1 sprites/gen5-back-shiny/burmy.png
DUPTYPE_WITHIN_SAME_TREE -17084 1 412 2306 311911 1 sprites/gen5-back-shiny/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 4878 1 424 2306 309656 1 sprites/gen5-back/egg-manaphy.png
DUPTYPE_WITHIN_SAME_TREE -4878 1 424 2306 311220 1 sprites/gen5-back-shiny/egg-manaphy.png
DUPTYPE_WITHIN_SAME_TREE -4878 1 424 2306 304810 1 sprites/gen5/egg-manaphy.png
DUPTYPE_WITHIN_SAME_TREE -4878 1 424 2306 326916 1 sprites/gen5-shiny/egg-manaphy.png
DUPTYPE_FIRST_OCCURRENCE 21249 1 430 2306 305097 1 sprites/gen5/substitute.png
DUPTYPE_WITHIN_SAME_TREE -21249 2 430 2306 537008 1 sprites/substitutes/gen5/substitute.png
DUPTYPE_FIRST_OCCURRENCE 33868 1 446 2306 314782 1 sprites/gen4-shiny/shellos-west.png
DUPTYPE_WITHIN_SAME_TREE -33868 1 446 2306 315336 1 sprites/gen4-shiny/shellos.png
DUPTYPE_FIRST_OCCURRENCE 29549 1 446 2306 312831 1 sprites/gen4/shellos-west.png
DUPTYPE_WITHIN_SAME_TREE -29549 1 446 2306 313388 1 sprites/gen4/shellos.png
DUPTYPE_FIRST_OCCURRENCE 29676 1 454 2306 312958 1 sprites/gen4/cherrim.png
DUPTYPE_WITHIN_SAME_TREE -29676 1 454 2306 313190 1 sprites/gen4/cherrim-overcast.png
DUPTYPE_FIRST_OCCURRENCE 33995 1 454 2306 314909 1 sprites/gen4-shiny/cherrim.png
DUPTYPE_WITHIN_SAME_TREE -33995 1 454 2306 315139 1 sprites/gen4-shiny/cherrim-overcast.png
DUPTYPE_FIRST_OCCURRENCE 34093 1 460 2306 315007 1 sprites/gen4-shiny/shaymin.png
DUPTYPE_WITHIN_SAME_TREE -34093 1 460 2306 315318 1 sprites/gen4-shiny/shaymin-land.png
DUPTYPE_FIRST_OCCURRENCE 29774 1 460 2306 313056 1 sprites/gen4/shaymin.png
DUPTYPE_WITHIN_SAME_TREE -29774 1 460 2306 313370 1 sprites/gen4/shaymin-land.png
DUPTYPE_FIRST_OCCURRENCE 4400 1 470 2306 309225 1 sprites/gen5-back/wormadam-plant.png
DUPTYPE_WITHIN_SAME_TREE -4400 1 470 2306 310651 1 sprites/gen5-back/wormadam.png
DUPTYPE_FIRST_OCCURRENCE 16497 1 471 2306 310800 1 sprites/gen5-back-shiny/wormadam-plant.png
DUPTYPE_WITHIN_SAME_TREE -16497 1 471 2306 311892 1 sprites/gen5-back-shiny/wormadam.png
DUPTYPE_FIRST_OCCURRENCE 34066 1 472 2306 314980 1 sprites/gen4-shiny/burmy.png
DUPTYPE_WITHIN_SAME_TREE -34066 1 472 2306 315311 1 sprites/gen4-shiny/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 29747 1 472 2306 313029 1 sprites/gen4/burmy.png
DUPTYPE_WITHIN_SAME_TREE -29747 1 472 2306 313363 1 sprites/gen4/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 8989 1 473 2306 330633 1 sprites/gen4dp-shiny/castform.png
DUPTYPE_WITHIN_SAME_TREE -8989 1 473 2306 329392 1 sprites/gen4dp-2-shiny/castform.png
DUPTYPE_FIRST_OCCURRENCE 21048 1 475 2306 304925 1 sprites/gen5/burmy.png
DUPTYPE_WITHIN_SAME_TREE -21048 1 475 2306 305522 1 sprites/gen5/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 35842 1 475 2306 327029 1 sprites/gen5-shiny/burmy.png
DUPTYPE_WITHIN_SAME_TREE -35842 1 475 2306 327612 1 sprites/gen5-shiny/burmy-plant.png
DUPTYPE_FIRST_OCCURRENCE 29536 1 479 2306 312818 1 sprites/gen4/castform-rainy.png
DUPTYPE_WITHIN_SAME_TREE -29536 1 479 2306 314769 1 sprites/gen4-shiny/castform-rainy.png
DUPTYPE_FIRST_OCCURRENCE 9509 1 479 2306 316714 1 sprites/gen3/castform-rainy.png
DUPTYPE_WITHIN_SAME_TREE -9509 1 479 2306 317900 1 sprites/gen3-shiny/castform-rainy.png
DUPTYPE_WITHIN_SAME_TREE -9509 1 479 2306 331579 1 sprites/gen3-2/castform-rainy.png
DUPTYPE_FIRST_OCCURRENCE 16923 1 482 2306 311188 1 sprites/gen5-back-shiny/cherrim.png
